NOMREG;NOMDEP;DATEAPPELLATION;FERME;ANNREOUV;ANNEXE;nom_du_musee;ADR;CP;VILLE;SITWEB;latitude;longitude
ALSACE;BAS-RHIN;01/02/2003;NON;;;Musée de la Folie Marco;30, Rue du Dr Sultzer;67140;BARR;www.barr.fr;48.410188;7.45112
ALSACE;BAS-RHIN;01/02/2003;NON;;;Musée de la Poterie;2, rue de Kuhlendorf;67660;BETSCHDORF;www.betschdorf.fr/tourisme/visiter_betschdrof/musee_poterie.php;48.900331;7.914441
ALSACE;BAS-RHIN;01/02/2003;OUI;29-juin-13;;Musée de Bouxwiller et du Pays de Hanau;"2, Place du Château
Halle aux Blés";67330;BOUXWILLER;www.musee-pays-hanau.webmuseo.com;48.824975;7.482776
ALSACE;BAS-RHIN;01/02/2003;NON;;;Musée Alsacien;1, place Joseph Thierry;67500;HAGUENAU;www.ville-haguenau.fr/pages/culture/musee.htm;48.814611;7.789527
ALSACE;BAS-RHIN;01/02/2003;NON;;;Musée Historique;"9, Rue du Maréchal Foch
B.P. 40261";67504;HAGUENAU Cedex;www.ville-haguenau.fr/pages/culture/musee.htm ou www.museumspass.com/dn_musees-haguenau/;48.812831;7.791479
ALSACE;BAS-RHIN;01/02/2003;NON;;;Musée de la Chartreuse;4, Cour des Chartreux;67120;MOLSHEIM;www.chartreuse-molsheim.info;48.54278;7.49023
ALSACE;BAS-RHIN;01/02/2003;NON;;;Maison de l'Archéologie des Vosges du Nord;44, Avenue Foch;67110;NIEDERBRONN-LES-BAINS;www.musee-niederbronn.fr;48.947443;7.650429
ALSACE;BAS-RHIN;15/12/2002;NON;;;Musée de l'Image Populaire de Pfaffenhoffen;24, rue du Docteur Albert Schweitzer;67350;PFAFFENHOFFEN;www.pfaffenhoffen.org ou http://www.musee-image-populaire.webmuseo.com/;48.844809;7.611262
ALSACE;BAS-RHIN;01/02/2003;NON;;;Musée du Fer;9, rue Jeanne d'Arc;67110;REICHSHOFFEN;musee-reischshoffen.webmuseo.com ou www.lacastine.com;48.932379;7.665286
ALSACE;BAS-RHIN;01/02/2003;NON;;;Musée du Château des Rohan;"Château des Rohans
Place du Général de Gaulle";67700;SAVERNE;http://www.louise weiss.org;48.741895;7.362216
ALSACE;BAS-RHIN;01/02/2003;NON;;;Musée des Arts Décoratifs;"Palais Rohan
2, Place du Château";67000;STRASBOURG;www.musees-strasbourg.eu;48.581323;7.751359
ALSACE;BAS-RHIN;23/06/2008;NON;;;Musée Tomi Ungerer;"Villa Greiner
2, avenue de la Marseillaise";67000;STRASBOURG;www.musees-strasbourg.eu;48.585556;7.755619
ALSACE;BAS-RHIN;01/02/2003;NON;;;Musée des Beaux-Arts;"Palais Rohan
2, Place du Château";67000;STRASBOURG;www.musees.strasbourg.eu;48.581323;7.751359
ALSACE;BAS-RHIN;01/02/2003;NON;29-juin-07;;Musée Historique;2, Rue du Vieux Marché aux Poissons;67000;STRASBOURG;www.musees-strasbourg.eu;48.580496;7.74967
ALSACE;BAS-RHIN;01/02/2003;NON;;;Musée Alsacien;23-25, Quai Saint-Nicolas;67000;STRASBOURG;www.musees-strasbourg.eu;48.57862;7.748812
ALSACE;BAS-RHIN;06/01/2002;NON;;;Musée Archéologique;"Palais Rohan
2, Place du Château";67000;STRASBOURG;www.musees.strasbourg.eu;48.581323;7.751359
ALSACE;BAS-RHIN;01/02/2003;NON;;;Musée de l'Œuvre Notre-Dame;3, Place du Château;67000;STRASBOURG;www.musees-strasbourg.eu;48.580997;7.751064
ALSACE;BAS-RHIN;01/02/2003;NON;;;Cabinet des Estampes et des Dessins;5, Place du Château;67000;STRASBOURG;www.musees-strasbourg.eu;48.581108;7.750893
ALSACE;BAS-RHIN;01/02/2003;NON;;;Musée d'Art Moderne et Contemporain de Strasbourg;1 place Hans Jean Arp;67000;STRASBOURG;www.musees-strasbourg.eu;48.580058;7.736546
ALSACE;BAS-RHIN;01/02/2003;NON;;;Musée Zoologique de l'Université Louis Pasteur et de la Ville de Strasbourg;29, Boulevard de la Victoire;67000;STRASBOURG;www.musees.strasbourg.eu;48.582685;7.764696
ALSACE;BAS-RHIN;01/02/2003;NON;;;Musée J.F. Oberlin;25, Montée Oberlin;67130;WALDERSBACH;www.musee-oberlin.com;48.414761;7.214894
ALSACE;BAS-RHIN;26/03/2007;NON;01-juil-11;;Musée Lalique;40 rue du Hochberg;67290;WINGEN-SUR-MODER;www.musee-lalique.com;48.927033;7.361922
ALSACE;BAS-RHIN;01/02/2003;OUI;2013;;Musée Westercamp;3, rue du Musée;67160;WISSEMBOURG;www.musee-wissembourg.webmuseo.com ou www.ville-wissembourg.eu;49.038815;7.944344
ALSACE;BAS-RHIN;01/02/2003;NON;;;Musée de la Bataille du 6 Août 1870;2, Rue du Moulin;67360;WOERTH;www.woerth-en-alsace.com;48.938618;7.747992
ALSACE;HAUT-RHIN;01/02/2003;NON;;;Musée Sundgauvien d'Altkirch;1, Rue de l'Hôtel de Ville;68130;ALTKIRCH;;47.623494;7.23739
ALSACE;HAUT-RHIN;01/02/2003;NON;;;Musée Gallo-Romain;Place de la Mairie;68600;BIESHEIM;www.ville-biesheim.fr/museegr.html;48.041378;7.547923
ALSACE;HAUT-RHIN;01/02/2003;NON;15-sept-07;;Musée de la Porte de Thann;1, Rue de Thann;68700;CERNAY;http://histoire-cernay.perso.sfr.fr ou www.musees-alsace.org;47.809504;7.174289
ALSACE;HAUT-RHIN;01/02/2003;NON;;;Musée d'Unterlinden;1, rue Unterlinden;68000;COLMAR;www.musee-unterlinden.com;48.079733;7.354974
ALSACE;HAUT-RHIN;01/02/2003;NON;;;Musée Bartholdi;30, Rue des Marchands;68000;COLMAR;www.musee-bartholdi.com ou www.colmar.fr ou www.culture.fr;48.076747;7.357746
ALSACE;HAUT-RHIN;01/02/2003;NON;;;Musée d'Histoire Naturelle et d'Ethnographie de Colmar;11, Rue Turenne;68000;COLMAR;www.museumcolmar.org;48.073594;7.35872
ALSACE;HAUT-RHIN;01/02/2003;NON;;;Musée Théodore Deck et des Pays du Florival;1, Rue du Quatre Février;68500;GUEBWILLER;www.ville-guebwiller.fr/musee-deck/;47.905522;7.214504
ALSACE;HAUT-RHIN;01/02/2003;NON;;;Musée Historique et Militaire de Huningue;6, rue des Boulangers;68330;HUNINGE;;47.591513;7.584985
ALSACE;HAUT-RHIN;01/02/2003;NON;;;Musée d'Histoire Local;64, avenue du Général de Gaulle;68240;KAYSERSBERG;www.ville-kaysersberg.fr;48.139072;7.261441
ALSACE;HAUT-RHIN;01/02/2003;NON;;;Musée du Vignoble et des Vins d'Alsace;Château de la Confrérie St-Etienne;68240;KIENTZHEIM;www.musee-du-vignoble-alsace.fr;;
ALSACE;HAUT-RHIN;18/11/2002;NON;11-mars-05;;Cité du Train;2, rue Alfred de Glehn;68200;MULHOUSE;www.citedutrain.com;47.751091;7.293676
ALSACE;HAUT-RHIN;01/02/2003;NON;;;Musée Historique;4, Rue des Archives;68100;MULHOUSE;www.musees-mulhouse.fr/musee-historique/collections.html;47.746535;7.339544
ALSACE;HAUT-RHIN;01/02/2003;OUI;juin-13;;Musée du Sapeur Pompier;"Association des Amis du Musée
4, Boulevard de la Marseillaise";68100;MULHOUSE;http://musee.spmulhouse.free.fr;47.757665;7.335541
ALSACE;HAUT-RHIN;01/02/2003;NON;;;Musée des Beaux-Arts;4, Place Guillaume-Tell;68100;MULHOUSE;http://www.musees-mulhouse.fr/musee-des-beaux-arts/collections.html;47.745774;7.338271
ALSACE;HAUT-RHIN;01/02/2003;NON;;;Musée de l'Impression sur Etoffes;"14, rue Jean-Jacques Henner
B.P. 1468";68072;MULHOUSE CEDEX;www.musee-impression.com;47.74415;7.343298
ALSACE;HAUT-RHIN;01/02/2003;NON;25-mars-00;;Musée National de l'Automobile - Collection Schlumpf;"192, Avenue de Colmar
CS 91096";68051;MULHOUSE Cedex;www.collection-schlumpf.com;47.760209;7.327993
ALSACE;HAUT-RHIN;01/02/2003;NON;;;Musée EDF Electropolis;"55, rue du Pâturage
B.P. 52463";68057;MULHOUSE Cedex;electropolis.edf.com;47.749347;7.295182
ALSACE;HAUT-RHIN;01/02/2003;OUI;;;Musée Minéralogique de la Société Industrielle de Mulhouse;3, Avenue Alfred-Werner;68093;MULHOUSE Cedex;;47.732773;7.312173
ALSACE;HAUT-RHIN;01/02/2003;NON;;;Musée Vauban;7, Place de la Porte de Belfort;68600;NEUF-BRISACH;www.neuf-brisach.fr;48.016059;7.525831
ALSACE;HAUT-RHIN;01/02/2003;NON;;;Maison du Sundgau - Musée Paysan;10, rue Principale;68480;OLTINGUE;http://musee.paysan.free.fr/;47.492827;7.391275
ALSACE;HAUT-RHIN;01/02/2003;NON;;;Musée du Dolder;57, Rue du Général de Gaulle;68340;RIQUEWIHR;Site des musées d'Alsace;48.16694;7.297357
ALSACE;HAUT-RHIN;01/02/2003;NON;;;Musée du Papier Peint;"La Commanderie  28, rue Zuber
B.P. 41";68171;RIXHEIM Cedex;www.museepapierpeint.org;47.74438;7.397815
